model,cond,split,n,wer,wer_sa,cer,k_wer,k_n,u_wer,u_n,ins_rate,script_fidelity,lat_n,mean_prompt_tokens,fallback_rate
small,C0,test,150,1.7149643705463182,1.597247157390784,1.4773150302466262,0.9951456310679612,206,0.7516914749661705,1478,0.9334916864608076,0.01627906976744186,430,0.0,
small,C1,test,150,2.4756532066508314,2.3901855176540994,1.6028385295486274,0.9951456310679612,206,0.7733423545331529,1478,1.6751781472684086,0.01627906976744186,430,73.0,
small,C2,test,150,3.307600950118765,3.132854578096948,3.4479990693345743,0.4029126213592233,206,0.9330175913396481,1478,2.4394299287410925,0.46744186046511627,430,145.09333333333333,
small,C3,test,150,1.48812351543943,1.386594853381209,1.1742671009771988,0.8058252427184466,206,0.7070365358592693,1478,0.7690023752969121,0.20465116279069767,430,200.0,
small,C4,test,150,1.4323040380047507,1.3171753441053262,1.2256863657515122,0.7427184466019418,206,0.6914749661705006,1478,0.7345605700712589,0.2372093023255814,430,200.0,
small,C5,test,150,1.6074821852731591,1.4913225613405146,1.2848999534667287,0.883495145631068,206,0.6907983761840325,1478,0.8931116389548693,0.16046511627906976,430,200.0,
small,C6,test,150,1.6888361045130642,1.5870736086175943,1.3848301535597953,0.6747572815533981,206,0.6914749661705006,1478,0.9994061757719715,0.2558139534883721,430,200.0,
small,C7,test,150,1.577790973871734,1.466786355475763,1.2961842717543044,0.7912621359223301,206,0.7313937753721245,1478,0.8390736342042755,0.17906976744186046,430,200.0,0.46
tiny,C0,dev-smoke,8,1.4915254237288136,1.3644067796610169,1.0711920529801324,0.5,10,0.9907407407407407,108,0.5423728813559322,0.35714285714285715,14,0.0,
tiny,C4,dev-smoke,8,2.5762711864406778,2.4745762711864407,1.8791390728476822,1.0,10,0.9814814814814815,108,1.5932203389830508,0.0,14,182.25,
tiny,C5,dev-smoke,8,2.6779661016949152,2.559322033898305,2.4718543046357615,1.0,10,0.9722222222222222,108,1.7033898305084745,0.0,14,181.375,
tiny,C6,dev-smoke,8,2.3389830508474576,2.2711864406779663,1.7334437086092715,1.0,10,0.9907407407407407,108,1.347457627118644,0.0,14,183.25,
turbo,C0,dev-lang-auto,60,0.7400568181818182,0.6077032810271041,0.5978627671541057,0.6421052631578947,95,0.5451559934318555,609,0.18181818181818182,0.31547619047619047,168,0.0,
turbo,C0,dev-lang-hi,60,0.5482954545454546,0.37660485021398005,0.4718785151856018,0.5684210526315789,95,0.33497536945812806,609,0.18181818181818182,0.38095238095238093,168,0.0,
turbo,C0,dev-smoke,8,1.152542372881356,0.9830508474576272,0.9304635761589404,0.4,10,0.3425925925925926,108,0.8050847457627118,0.42857142857142855,14,0.0,
turbo,C0,test,150,0.8568883610451307,0.7187312986235787,0.6791530944625407,0.6553398058252428,206,0.43504736129905275,1478,0.39489311163895485,0.32558139534883723,430,0.0,
turbo,C0,testcat,100,0.43464169967590927,0.2804855952165247,0.3372913319829573,0.4803788903924222,739,0.34641744548286607,4815,0.07039971191933742,0.4797843665768194,1484,0.0,
